b
Link Score,Var-Comm Score,Comm-Text Score,Text-Eqn Score,Comment Span,Text Mention,Equation Symbol
1,1,1.568,, b price elasticity of global demand,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.568,, b price elasticity of global demand,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.537,, b price elasticity of global demand,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.537,, b price elasticity of global demand,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.502,, b price elasticity of global demand,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.502,, b price elasticity of global demand,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.5,, b price elasticity of global demand,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.5,, b price elasticity of global demand,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.495,, b price elasticity of global demand,"['shock (S ¼ D', 'sold (figure 1, right', 'a < 1']",
1,1,1.495,, b price elasticity of global demand,"['shock (S ¼ D', 'sold (figure 1, right', 'a < 1']",
0.333,0.333,1.432,, qx quantity sold in global trade,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.333,0.333,1.418,, qx quantity sold in global trade,"['shock (S ¼ D', 'tit y (m m t', 'a < 1']",
0.333,0.333,1.394,, qx quantity sold in global trade,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.333,0.333,1.381,, qx quantity sold in global trade,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.333,0.333,1.373,, qx quantity sold in global trade,"['shock (S ¼ D', 'tit y (m m t', 'a < 1']",

p_max_prod_const
Link Score,Var-Comm Score,Comm-Text Score,Text-Eqn Score,Comment Span,Text Mention,Equation Symbol
1,1,1.593,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.593,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.563,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.563,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.54,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.54,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.537,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.537,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.52,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.52,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.077,0.077,1.58,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'bust’ nature of the 2007/08 peak [', 'a < 1']",
0.077,0.077,1.544,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.077,0.077,1.521,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.077,0.077,1.508,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.077,0.077,1.497,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",

q_storage_max_cons
Link Score,Var-Comm Score,Comm-Text Score,Text-Eqn Score,Comment Span,Text Mention,Equation Symbol
1,1,1.58,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'bust’ nature of the 2007/08 peak [', 'a < 1']",
1,1,1.58,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'bust’ nature of the 2007/08 peak [', 'a < 1']",
1,1,1.544,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.544,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.521,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.521,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.508,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.508,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.497,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.497,, q_storage_max_cons maximum surplus storage capacity,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.077,0.077,1.593,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
