Score,Mention,Search term,OSV term,Class name
1,˛c,transpire,transpire,Process
1,˛b,function,function,Mathematical Abstraction
1,˛b,function,function,Abstraction
1,w,point,point,Mathematical Abstraction
1,w,point,point,Abstraction
1,re,management,management,Process
1,nd,irrigation,irrigation,Process
1,gc,canopy,canopy,Spatial Phenomenon
1,gc,canopy,canopy,Phenomenon
1,gc,canopy,canopy,Part
1,gc,canopy,canopy,Body
1,fs,fraction,fraction,Operator
1,fG,fraction,fraction,Operator
1,evaporation rate,amount,amount,Standardized Property
1,evaporation rate,amount,amount,Quantitative Property
1,evaporation rate,amount,amount,Property
1,eaf,model,model,Mathematical Abstraction
1,eaf,model,model,Abstraction
1,e.g,management,management,Process
1,a,aerodynamic_conductance,aerodynamic_conductance,Standardized Property
1,a,aerodynamic_conductance,aerodynamic_conductance,Quantitative Property
1,a,aerodynamic_conductance,aerodynamic_conductance,Property
1,Se,saturation,saturation,Process
1,SD,standard_deviation,standard_deviation,Operator
1,SD,deviation,deviation,Process
1,Rns,surface,surface,Mathematical Abstraction
1,Rns,surface,surface,Abstraction
1,Rns,soil_surface,soil_surface,Phenomenon
1,Rev.,weather,weather,Process
1,RE,error,error,Operator
1,ET,estimation,estimation,Process
1,Cc,stage,stage,Property Standardization
1,Cc,stage,stage,Property
1,Cc,stage,stage,Process
1,Agric,rest,rest,Process
1,3D,response,response,Process
0.9167,o,Agricultural,agricultural,Attribute
0.8333,o,Forest,forest,Phenomenon
0.7692,Se,saturation,at_saturation,CF Convention Standard Name Assumptions
0.7692,Se,saturation,at_saturation,Assumption
0.6667,LAI,area_index,leaf-area_index,Standardized Property
0.6667,LAI,area_index,leaf-area_index,Quantitative Property
0.6667,LAI,area_index,leaf-area_index,Property
0.6471,o,Agricultural,land~agricultural,Spatial Phenomenon
0.6471,o,Agricultural,land~agricultural,Phenomenon
0.6471,o,Agricultural,land~agricultural,Body
0.625,f,slope,d8_slope,Standardized Property
0.625,f,slope,d8_slope,Quantitative Property
0.625,f,slope,d8_slope,Property
0.6154,fs,fraction,area_fraction,Standardized Property
0.6154,fs,fraction,area_fraction,Quantitative Property
0.6154,fs,fraction,area_fraction,Property
